group,n,fnr_before,fnr_after,auc_before,auc_after
1,213,0.3644859813084112,0.40186915887850466,0.5885205431140892,0.5648033856462705
other,29,0.16666666666666666,0.2777777777777778,0.3888888888888889,0.5959595959595959
15,9,0.16666666666666666,0.16666666666666666,0.5555555555555557,0.6666666666666667
90,15,0.16666666666666666,0.16666666666666666,0.5277777777777778,0.5277777777777778
